simulation, visitors, current conversion rate, overall conversion rate, total conversions, pulls arm 1, pulls arm 2
0, 50, 0.48, 0.48, 24, 24, 26
0, 100, 0.28, 0.38, 38, 47, 53
0, 150, 0.44, 0.4, 60, 65, 85
0, 200, 0.4, 0.4, 80, 85, 115
0, 250, 0.36, 0.392, 98, 111, 139
0, 300, 0.38, 0.39, 117, 134, 166
0, 350, 0.48, 0.402857142857, 141, 158, 192
0, 400, 0.4, 0.4025, 161, 186, 214
0, 450, 0.34, 0.395555555556, 178, 208, 242
0, 500, 0.44, 0.4, 200, 231, 269
0, 550, 0.46, 0.405454545455, 223, 253, 297
0, 600, 0.5, 0.413333333333, 248, 275, 325
0, 650, 0.56, 0.424615384615, 276, 299, 351
0, 700, 0.54, 0.432857142857, 303, 327, 373
0, 750, 0.52, 0.438666666667, 329, 353, 397
0, 800, 0.52, 0.44375, 355, 371, 429
0, 850, 0.42, 0.442352941176, 376, 397, 453
0, 900, 0.48, 0.444444444444, 400, 421, 479
0, 950, 0.56, 0.450526315789, 428, 448, 502
0, 1000, 0.44, 0.45, 450, 477, 523
0, 1050, 0.4, 0.447619047619, 470, 498, 552
0, 1100, 0.66, 0.457272727273, 503, 527, 573
0, 1150, 0.5, 0.459130434783, 528, 541, 609
0, 1200, 0.5, 0.460833333333, 553, 565, 635
0, 1250, 0.6, 0.4664, 583, 590, 660
0, 1300, 0.58, 0.470769230769, 612, 615, 685
0, 1350, 0.46, 0.47037037037, 635, 641, 709
0, 1400, 0.54, 0.472857142857, 662, 667, 733
0, 1450, 0.46, 0.472413793103, 685, 689, 761
0, 1500, 0.46, 0.472, 708, 717, 783
0, 1550, 0.42, 0.470322580645, 729, 733, 817
0, 1600, 0.48, 0.470625, 753, 757, 843
0, 1650, 0.52, 0.472121212121, 779, 783, 867
0, 1700, 0.56, 0.474705882353, 807, 811, 889
0, 1750, 0.48, 0.474857142857, 831, 831, 919
0, 1800, 0.38, 0.472222222222, 850, 859, 941
0, 1850, 0.5, 0.472972972973, 875, 886, 964
0, 1900, 0.5, 0.473684210526, 900, 913, 987
0, 1950, 0.44, 0.472820512821, 922, 937, 1013
0, 2000, 0.5, 0.4735, 947, 962, 1038
1, 50, 0.44, 0.44, 22, 23, 27
1, 100, 0.36, 0.4, 40, 49, 51
1, 150, 0.42, 0.406666666667, 61, 70, 80
1, 200, 0.5, 0.43, 86, 95, 105
1, 250, 0.24, 0.392, 98, 123, 127
1, 300, 0.46, 0.403333333333, 121, 150, 150
1, 350, 0.46, 0.411428571429, 144, 174, 176
1, 400, 0.42, 0.4125, 165, 201, 199
1, 450, 0.64, 0.437777777778, 197, 226, 224
1, 500, 0.36, 0.43, 215, 247, 253
1, 550, 0.48, 0.434545454545, 239, 269, 281
