simulation, visitors, current conversion rate, overall conversion rate, total conversions, pulls arm 1, pulls arm 2
0, 50, 0.36, 0.36, 18, 23, 27
0, 100, 0.4, 0.38, 38, 50, 50
0, 150, 0.46, 0.406666666667, 61, 70, 80
0, 200, 0.36, 0.395, 79, 97, 103
0, 250, 0.36, 0.388, 97, 124, 126
0, 300, 0.38, 0.386666666667, 116, 149, 151
0, 350, 0.3, 0.374285714286, 131, 171, 179
0, 400, 0.54, 0.395, 158, 196, 204
0, 450, 0.28, 0.382222222222, 172, 224, 226
0, 500, 0.34, 0.378, 189, 252, 248
0, 550, 0.4, 0.38, 209, 280, 270
0, 600, 0.3, 0.373333333333, 224, 313, 287
0, 650, 0.3, 0.367692307692, 239, 337, 313
0, 700, 0.42, 0.371428571429, 260, 362, 338
0, 750, 0.4, 0.373333333333, 280, 383, 367
0, 800, 0.42, 0.37625, 301, 399, 401
0, 850, 0.46, 0.381176470588, 324, 420, 430
0, 900, 0.5, 0.387777777778, 349, 440, 460
0, 950, 0.44, 0.390526315789, 371, 465, 485
0, 1000, 0.26, 0.384, 384, 485, 515
0, 1050, 0.34, 0.381904761905, 401, 505, 545
0, 1100, 0.42, 0.383636363636, 422, 528, 572
0, 1150, 0.42, 0.385217391304, 443, 547, 603
0, 1200, 0.32, 0.3825, 459, 563, 637
0, 1250, 0.28, 0.3784, 473, 575, 675
0, 1300, 0.4, 0.379230769231, 493, 589, 711
0, 1350, 0.32, 0.377037037037, 509, 600, 750
0, 1400, 0.36, 0.376428571429, 527, 618, 782
0, 1450, 0.48, 0.38, 551, 637, 813
0, 1500, 0.48, 0.383333333333, 575, 647, 853
0, 1550, 0.34, 0.381935483871, 592, 653, 897
0, 1600, 0.44, 0.38375, 614, 666, 934
0, 1650, 0.5, 0.387272727273, 639, 675, 975
0, 1700, 0.3, 0.384705882353, 654, 683, 1017
0, 1750, 0.42, 0.385714285714, 675, 694, 1056
0, 1800, 0.34, 0.384444444444, 692, 702, 1098
0, 1850, 0.34, 0.383243243243, 709, 713, 1137
0, 1900, 0.32, 0.381578947368, 725, 723, 1177
0, 1950, 0.34, 0.380512820513, 742, 734, 1216
0, 2000, 0.38, 0.3805, 761, 747, 1253
1, 50, 0.54, 0.54, 27, 21, 29
1, 100, 0.42, 0.48, 48, 46, 54
1, 150, 0.28, 0.413333333333, 62, 68, 82
1, 200, 0.46, 0.425, 85, 86, 114
1, 250, 0.4, 0.42, 105, 112, 138
1, 300, 0.3, 0.4, 120, 139, 161
1, 350, 0.26, 0.38, 133, 166, 184
1, 400, 0.32, 0.3725, 149, 195, 205
1, 450, 0.36, 0.371111111111, 167, 218, 232
1, 500, 0.42, 0.376, 188, 232, 268
1, 550, 0.36, 0.374545454545, 206, 254, 296
1, 600, 0.36, 0.373333333333, 224, 278, 322
1, 650, 0.3, 0.367692307692, 239, 302, 348
1, 700, 0.36, 0.367142857143, 257, 322, 378
1, 750, 0.36, 0.366666666667, 275, 349, 401
1, 800, 0.52, 0.37625, 301, 372, 428
1, 850, 0.42, 0.378823529412, 322, 388, 462
1, 900, 0.24, 0.371111111111, 334, 408, 492
1, 950, 0.38, 0.371578947368, 353, 431, 519
1, 1000, 0.44, 0.375, 375, 448, 552
1, 1050, 0.48, 0.38, 399, 466, 584
1, 1100, 0.42, 0.381818181818, 420, 486, 614
1, 1150, 0.44, 0.384347826087, 442, 508, 642
1, 1200, 0.3, 0.380833333333, 457, 529, 671
1, 1250, 0.46, 0.384, 480, 546, 704
1, 1300, 0.38, 0.383846153846, 499, 565, 735
1, 1350, 0.42, 0.385185185185, 520, 581, 769
1, 1400, 0.4, 0.385714285714, 540, 599, 801
1, 1450, 0.34, 0.384137931034, 557, 612, 838
1, 1500, 0.42, 0.385333333333, 578, 619, 881
1, 1550, 0.4, 0.385806451613, 598, 632, 918
1, 1600, 0.44, 0.3875, 620, 642, 958
1, 1650, 0.5, 0.390909090909, 645, 648, 1002
1, 1700, 0.34, 0.389411764706, 662, 655, 1045
1, 1750, 0.38, 0.389142857143, 681, 658, 1092
1, 1800, 0.38, 0.388888888889, 700, 665, 1135
1, 1850, 0.36, 0.388108108108, 718, 669, 1181
1, 1900, 0.4, 0.388421052632, 738, 674, 1226
1, 1950, 0.28, 0.385641025641, 752, 677, 1273
1, 2000, 0.36, 0.385, 770, 684, 1316
2, 50, 0.48, 0.48, 24, 24, 26
2, 100, 0.4, 0.44, 44, 53, 47
2, 150, 0.46, 0.446666666667, 67, 74, 76
2, 200, 0.38, 0.43, 86, 97, 103
2, 250, 0.3, 0.404, 101, 124, 126
2, 300, 0.28, 0.383333333333, 115, 148, 152
2, 350, 0.46, 0.394285714286, 138, 167, 183
2, 400, 0.3, 0.3825, 153, 194, 206
2, 450, 0.46, 0.391111111111, 176, 225, 225
2, 500, 0.4, 0.392, 196, 253, 247
2, 550, 0.38, 0.390909090909, 215, 283, 267
2, 600, 0.3, 0.383333333333, 230, 319, 281
2, 650, 0.38, 0.383076923077, 249, 352, 298
2, 700, 0.48, 0.39, 273, 383, 317
2, 750, 0.42, 0.392, 294, 410, 340
2, 800, 0.32, 0.3875, 310, 435, 365
2, 850, 0.26, 0.38, 323, 466, 384
2, 900, 0.3, 0.375555555556, 338, 488, 412
2, 950, 0.46, 0.38, 361, 506, 444
2, 1000, 0.34, 0.378, 378, 533, 467
2, 1050, 0.42, 0.38, 399, 573, 477
2, 1100, 0.38, 0.38, 418, 607, 493
2, 1150, 0.34, 0.378260869565, 435, 647, 503
2, 1200, 0.42, 0.38, 456, 689, 511
2, 1250, 0.3, 0.3768, 471, 730, 520
2, 1300, 0.34, 0.375384615385, 488, 773, 527
2, 1350, 0.32, 0.373333333333, 504, 819, 531
2, 1400, 0.5, 0.377857142857, 529, 857, 543
2, 1450, 0.46, 0.380689655172, 552, 900, 550
2, 1500, 0.46, 0.383333333333, 575, 941, 559
2, 1550, 0.46, 0.385806451613, 598, 982, 568
2, 1600, 0.38, 0.385625, 617, 1023, 577
2, 1650, 0.4, 0.386060606061, 637, 1066, 584
2, 1700, 0.42, 0.387058823529, 658, 1110, 590
2, 1750, 0.5, 0.390285714286, 683, 1157, 593
2, 1800, 0.38, 0.39, 702, 1206, 594
2, 1850, 0.38, 0.38972972973, 721, 1253, 597
2, 1900, 0.54, 0.393684210526, 748, 1297, 603
2, 1950, 0.34, 0.392307692308, 765, 1342, 608
2, 2000, 0.44, 0.3935, 787, 1390, 610
3, 50, 0.4, 0.4, 20, 29, 21
3, 100, 0.52, 0.46, 46, 56, 44
3, 150, 0.5, 0.473333333333, 71, 83, 67
3, 200, 0.32, 0.435, 87, 107, 93
3, 250, 0.38, 0.424, 106, 136, 114
3, 300, 0.46, 0.43, 129, 167, 133
3, 350, 0.42, 0.428571428571, 150, 194, 156
3, 400, 0.34, 0.4175, 167, 212, 188
3, 450, 0.46, 0.422222222222, 190, 222, 228
3, 500, 0.5, 0.43, 215, 231, 269
3, 550, 0.56, 0.441818181818, 243, 235, 315
3, 600, 0.38, 0.436666666667, 262, 239, 361
3, 650, 0.44, 0.436923076923, 284, 248, 402
3, 700, 0.38, 0.432857142857, 303, 260, 440
3, 750, 0.4, 0.430666666667, 323, 267, 483
3, 800, 0.4, 0.42875, 343, 278, 522
3, 850, 0.42, 0.428235294118, 364, 282, 568
3, 900, 0.4, 0.426666666667, 384, 288, 612
3, 950, 0.5, 0.430526315789, 409, 294, 656
3, 1000, 0.36, 0.427, 427, 298, 702
3, 1050, 0.34, 0.422857142857, 444, 299, 751
3, 1100, 0.42, 0.422727272727, 465, 306, 794
3, 1150, 0.46, 0.424347826087, 488, 309, 841
3, 1200, 0.38, 0.4225, 507, 313, 887
3, 1250, 0.26, 0.416, 520, 319, 931
3, 1300, 0.46, 0.417692307692, 543, 327, 973
3, 1350, 0.42, 0.417777777778, 564, 335, 1015
3, 1400, 0.54, 0.422142857143, 591, 340, 1060
3, 1450, 0.34, 0.419310344828, 608, 351, 1099
3, 1500, 0.38, 0.418, 627, 364, 1136
3, 1550, 0.38, 0.416774193548, 646, 368, 1182
3, 1600, 0.5, 0.419375, 671, 374, 1226
3, 1650, 0.34, 0.41696969697, 688, 383, 1267
3, 1700, 0.4, 0.416470588235, 708, 388, 1312
3, 1750, 0.46, 0.417714285714, 731, 396, 1354
3, 1800, 0.46, 0.418888888889, 754, 401, 1399
3, 1850, 0.48, 0.420540540541, 778, 407, 1443
3, 1900, 0.28, 0.416842105263, 792, 416, 1484
3, 1950, 0.34, 0.414871794872, 809, 424, 1526
3, 2000, 0.46, 0.416, 832, 442, 1558
4, 50, 0.28, 0.28, 14, 25, 25
4, 100, 0.36, 0.32, 32, 52, 48
4, 150, 0.38, 0.34, 51, 74, 76
4, 200, 0.38, 0.35, 70, 98, 102
4, 250, 0.46, 0.372, 93, 117, 133
4, 300, 0.36, 0.37, 111, 141, 159
4, 350, 0.32, 0.362857142857, 127, 168, 182
4, 400, 0.36, 0.3625, 145, 194, 206
4, 450, 0.44, 0.371111111111, 167, 222, 228
4, 500, 0.34, 0.368, 184, 244, 256
4, 550, 0.46, 0.376363636364, 207, 252, 298
4, 600, 0.34, 0.373333333333, 224, 257, 343
4, 650, 0.3, 0.367692307692, 239, 268, 382
4, 700, 0.34, 0.365714285714, 256, 279, 421
4, 750, 0.46, 0.372, 279, 293, 457
4, 800, 0.4, 0.37375, 299, 301, 499
4, 850, 0.3, 0.369411764706, 314, 314, 536
4, 900, 0.4, 0.371111111111, 334, 320, 580
4, 950, 0.46, 0.375789473684, 357, 332, 618
4, 1000, 0.32, 0.373, 373, 347, 653
4, 1050, 0.42, 0.375238095238, 394, 359, 691
4, 1100, 0.48, 0.38, 418, 364, 736
4, 1150, 0.4, 0.380869565217, 438, 372, 778
4, 1200, 0.48, 0.385, 462, 377, 823
4, 1250, 0.32, 0.3824, 478, 378, 872
4, 1300, 0.32, 0.38, 494, 386, 914
